id,name,botanical_name,category,category_name,price_kes,rating,review_count,tag,herbs,target_symptoms_illnesses,rituals,description,benefits,ingredients,ritual_guide,in_stock,image
digestive-tea-blend,Botanical Gut Harmony & Anti-Bloat Tea Blend,"Foeniculum vulgare, Mentha & Zingiber",gut-digestive,Gut & Digestive Wellness,1400,4.9,162,High-Priority Launch,fennel; peppermint; ginger; coriander seed; licorice root,bloating; acid reflux; gas; sluggish digestion; stomach cramps; gut inflammation; ibs discomfort,post-meal digestive rite; tummy soothing ritual; evening gut calm,"A time-tested herbalist formulation of crushed sweet fennel seeds, crisp Egyptian peppermint, warming ginger, and licorice root. Alleviates post-meal abdominal distension and soothes the intestinal lining.",Relaxes intestinal smooth muscle to expel trapped gas and reduce bloating; Supports healthy gastric acid secretion and digestive enzyme activity; Licorice root coats and calms irritated mucous membranes from reflux; Delightfully refreshing sweet herbal taste with no artificial sweeteners,Organic Sweet Fennel Seeds; Crisp Peppermint Leaves; Crushed Ginger Rhizome; Coriander Seeds; DGL Licorice Root,"Steep 1 tablespoon in boiling water for 7 minutes immediately following heavy meals. Sip slowly while resting in an upright, relaxed posture.",Yes,assets/images/hibiscus-tea.jpg
peppermint-digestive-comfort,Pure Egyptian Peppermint Comfort Tisane,Mentha x piperita,gut-digestive,Gut & Digestive Wellness,1150,4.8,84,Apothecary Pick,peppermint; mentha piperita; menthol,indigestion; nausea; stomach spasms; headache; halitosis; sluggish gut,cooling afternoon tonic; mental clarity tea break; stomach comfort sip,Whole dried peppermint leaves bursting with pure natural menthol essential oil. Offers immediate gastrointestinal antispasmodic comfort and crisp respiratory invigoration.,Natural antispasmodic effect on digestive tract muscles; Cooling sensation soothes irritable bowel sensations and nausea; Cleanses palate and freshens breath naturally,100% Pure Organic Dried Peppermint Leaf Cut,Steep for 5 minutes in freshly boiled water. Inhale the crisp vapor deeply before each soothing sip.,Yes,assets/images/hibiscus-tea.jpg
shea-butter-cream-calendula,East African Whipped Shea & Calendula Cream,Vitellaria nilotica & Calendula officinalis,skin-body,Skin & Body Confidence,1650,5,220,High-Priority Launch,shea butter; calendula; chamomile; jojoba oil; vitamin e,dry cracked skin; eczema; stretch marks; skin irritation; rough elbows; sunburn; scars,body love anointing; evening skin nourishment; post-bath moisture seal,Rare East African Nilotica shea butter cold-whipped into a velvety cloud with organic calendula flower extract and soothing German chamomile. Rich in oleic acids for deep cellular skin nourishment.,"Melts effortlessly at body temperature without waxy or gritty residue; Intensely hydrates severely dry skin, cracked heels, and peeling cuticles; Calendula speeds cellular regeneration and calms inflammatory eczema flareups; Improves skin elasticity to diminish the appearance of new stretch marks",Raw Nilotica East African Shea Butter; Calendula Officinalis Flower Infused Oil; Organic Golden Jojoba Oil; Chamomile Essential Extract; Tocopherol (Natural Vitamin E),"Warm a dime-sized dollop between hands. Massage gently into damp skin after showering, speaking words of gratitude and reverence over your body.",Yes,assets/images/shea-cream.jpg
aloe-vera-soothing-gel,Pure Wildcrafted Aloe Vera Hydrating Gel,Aloe barbadensis miller,skin-body,Skin & Body Confidence,1350,4.8,96,Bestseller,aloe vera; aloe barbadensis; tea tree; witch hazel,sunburn; acne breakouts; skin inflammation; razor bumps; minor burns; oily congested skin,morning face hydration; post-shave cooling soothing; sun relief compress,"Cold-pressed inner fillet aloe vera gel harvested from dry-climate Kenyan aloe farms. Quenches thirsty skin cells, alleviates heat inflammation, and soothes razor irritation without stickiness.","Instant cooling relief for sunburn, heat rash, and shaving irritation; Lightweight non-comedogenic hydration suitable for acne-prone skin; Accelerates natural tissue repair with acemannan polysaccharides",99% Pure Organic Aloe Barbadensis Leaf Juice; Plant Cellulose Thickener; Natural Potassium Sorbate (Food Grade Preservation),Smooth a thin layer over cleansed skin or sunburned areas. Keep refrigerated for an ultra-refreshing cryogenic skin ritual.,Yes,assets/images/shea-cream.jpg
scar-appearance-botanical-oil,Regenerative Rosehip & Frankincense Scar Oil,Rosa canina & Boswellia serrata,skin-body,Skin & Body Confidence,1800,4.9,71,Apothecary Pick,rosehip seed; frankincense; helichrysum; vitamin e; sea buckthorn,surgical scars; acne scars; hyperpigmentation; stretch marks; uneven skin tone; fine lines,sacred face and scar massage; nightly skin rebirth ritual; gentle scar healing therapy,Unrefined cold-pressed virgin rosehip seed oil infused with sacred Somali frankincense and everlasting helichrysum blossoms. Rich in trans-retinoic acid to fade stubborn dark spots and soften scar tissue.,"Encourages healthy collagen alignment to soften raised fibrous scar tissue; Fades hyperpigmentation and post-inflammatory acne marks; Restores supple, even-toned radiance to traumatized skin",Cold-Pressed Virgin Rosa Canina Seed Oil; Wildcrafted Frankincense Resin Oil; Helichrysum Italicum Flower Oil; Sea Buckthorn Fruit Berry Extract,Dispense 3-4 drops onto clean fingers. Press into scars or areas of pigmentation twice daily with mindful intention of healing.,Yes,assets/images/rosemary-oil.jpg
rosemary-scalp-hair-oil,Artisanal Rosemary & Castor Scalp Growth Elixir,Rosmarinus officinalis & Ricinus communis,hair-grooming,Hair & Grooming,1700,5,310,High-Priority Launch,rosemary; black castor oil; jojoba; peppermint; fenugreek; biotin,hair thinning; scalp itchiness; dandruff; slow hair growth; receding hairline; dry brittle hair,weekly scalp oiling ritual; growth stimulation massage; derma-roller scalp therapy,"Clinical-grade organic rosemary essential oil blended into dark cold-pressed black castor oil, golden jojoba, and fenugreek seeds. Stimulates microcapillary blood flow directly to hair follicles.","Shown in herbalist studies to rival conventional minoxidil for hair thickness; Reduces DHT accumulation on the scalp and slows follicle miniaturization; Anti-fungal rosemary clears flaking dandruff and calms irritated scalp skin; Strengthens hair shafts from root to tip, preventing premature breakage",Pure Cineole-Rich Rosemary Essential Oil; Black Castor Seed Oil; Golden Jojoba Oil; Fenugreek Seed Extract; Peppermint Oil; Vitamin E,Part hair into sections. Apply 2-3 dropperfuls directly to the scalp. Massage deeply with fingertips for 5 minutes using circular motions. Leave for 1-3 hours or overnight before washing.,Yes,assets/images/rosemary-oil.jpg
botanical-beard-conditioning-oil,Cedarwood & Baobab Nourishing Beard Oil,Cedrus atlantica & Adansonia digitata,hair-grooming,Hair & Grooming,1450,4.8,82,Bestseller,baobab oil; cedarwood; jojoba; argan oil; clove,beard itch; beard dandruff (beardruff); patchy coarse beard; dry facial hair; ingrown hairs,morning gentleman grooming; beard comb ritual; facial hair conditioning,"A masculine grounding elixir crafted with ultra-absorbent wild baobab seed oil, Moroccan argan oil, and aromatic Atlas cedarwood. Tames coarse facial hair and hydrates the underlying skin.","Softens stubborn bristly whiskers without leaving an oily grease trail; Stops underneath beard itching and eliminates flaking dry skin; Subtle woody, spicy forest aroma that lasts throughout the day",Virgin Kenyan Baobab Seed Oil; Organic Moroccan Argan Oil; Cold-Pressed Jojoba Oil; Atlas Cedarwood Oil; Clove Leaf Essential Oil,Rub 4-6 drops into palms and distribute thoroughly through damp beard down to the skin roots. Comb through with a wooden beard comb.,Yes,assets/images/men-vitality.jpg
mens-vitality-botanical-tea,Lion's Root Men's Vitality & Stamina Tea,Mondia whitei & Panax ginseng,mens-wellness,Men's Wellness & Intimate Confidence,1650,4.9,140,High-Priority Launch,mondia whitei (mukombero); ginseng; ashwagandha; tribulus; horny goat weed; ginger,low libido; chronic fatigue; low testosterone support; performance anxiety; physical stamina dip; erectile vitality support,morning masculine vigor tea; pre-intimacy tonic; workout endurance brew,"Centuries-old African aphrodisiac Mondia Whitei (Mukombero root) synergized with Korean red ginseng and adaptogenic ashwagandha. Supports male hormonal health, physical vigor, and vitality.","Traditional East African root revered for enhancing male stamina and desire; Supports healthy nitric oxide production and cardiovascular blood flow; Adaptogens nourish adrenal glands to diminish stress-induced performance fatigue; Earthy, sweet vanilla-like aroma natural to pure Mukombero root",Ethically Harvested Kenyan Mondia Whitei Root; Panax Red Ginseng; Organic Ashwagandha Root; Tribulus Terrestris; Wild Ginger Slices,Boil 1 generous tablespoon in water for 10-15 minutes. Drink warm in the early morning or 1 hour before intimacy to center masculine power.,Yes,assets/images/men-vitality.jpg
couples-botanical-massage-oil,Sacred Intimacy & Couples Warming Massage Oil,"Amyris balsamifera, Elettaria & Piper nigrum",mens-wellness,Men's Wellness & Intimate Confidence,1950,5,95,Sacred Craft,amyris; cardamom; black pepper; ylang ylang; sweet almond oil; vitamin e,intimacy disconnection; stress tension between partners; low sensual awareness; body insecurity,sacred couples massage ritual; tantric touch ceremony; anniversary reconnection rite,"An intoxicating sensory external massage oil featuring aphrodisiac West Indian sandalwood (amyris), warming green cardamom, erotic ylang-ylang, and golden sweet almond oil.","Subtle botanical thermal effect stimulates cutaneous nerve endings and intimacy; Creates an exotic, warm sensual sanctuary of aroma and physical presence; Leaves skin extraordinarily soft, conditioned, and touchable",Cold-Pressed Sweet Almond Oil; Virgin Coconut Oil; Amyris Wood Oil; Green Cardamom Seed Oil; Madagascar Ylang Ylang Extra; Black Pepper Fruit Oil,"Warm the amber bottle in a bowl of warm water. Dim the lights, take synchronous deep breaths together, and massage slowly into shoulders, back, and limbs.",Yes,assets/images/men-vitality.jpg
womens-hormonal-wellness-tea,Goddess Cycle Hormonal Balance & Moon Tea,"Rubus idaeus, Vitex & Alchemilla",womens-wellness,Women's Wellness & Intimate Care,1600,4.9,188,High-Priority Launch,red raspberry leaf; chaste tree berry (vitex); lady's mantle; nettle leaf; rose petals,menstrual cramps; pcos support; irregular cycle; pms mood swings; heavy bleeding; hormonal acne; fertility preparation,moon cycle tea ritual; womb warming meditation; sacred feminine self-care,"Uterine tonic red raspberry leaf blended with chasteberry (vitex), organic stinging nettle, and fragrant Damascus rose petals. Restores rhythmic harmony to female endocrine and reproductive cycles.","Red raspberry leaf tones pelvic and uterine muscles, reducing severe cramping; Vitex promotes healthy progesterone-to-estrogen balance across the cycle; Nettle restores bioavailable iron lost during monthly menstruation; Calms premenstrual irritability, water retention, and breast tenderness",Organic Red Raspberry Leaves; Chaste Tree Berries (Vitex Agnus-Castus); Wild Lady's Mantle; Stinging Nettle Leaf; Damask Rose Buds,"Steep 1 tablespoon covered for 10-15 minutes. Drink 1-2 cups daily, especially in the luteal and menstrual phases of your monthly cycle.",Yes,assets/images/hibiscus-tea.jpg
external-intimate-moisturizer,Botanical Comfort External Intimate Moisturizer,"Cocos nucifera, Aloe & Calendula",womens-wellness,Women's Wellness & Intimate Care,1750,4.8,104,High-Priority Launch,calendula; organic coconut oil; shea butter; aloe vera; jojoba,external vulvar dryness; post-intimacy chafing; hormonal dryness; postpartum discomfort; cycling irritation,daily intimate comfort care; post-bath vulvar care; gentle body grounding,"Gynecologically formulated 100% natural external comfort balm. Hypoallergenic, free from fragrances, glycerin, or synthetic preservatives to soothe delicate external intimate skin.","Restores protective lipid barrier to prevent uncomfortable chafing and friction; Soothes external tissue following child birth, menopause, or vigorous activity; pH-respecting, plant-based and gentle enough for sensitive skin",Fractionated Organic Coconut Oil; Raw Nilotica Shea Butter; Cold-Pressed Jojoba Oil; CO2 Calendula Extract,"With clean hands, warm a small amount between fingers and apply externally to the vulvar tissue as needed for comfort.",Yes,assets/images/shea-cream.jpg
sacred-smudge-wand-altar-kit,Sacred Herbal Smudge Wand & Crystal Altar Kit,Salvia apiana & Artemisia afra,sacred-rituals,Sacred Rituals & Holistic Kits,2450,5,119,Sacred Craft,white sage; african wormwood (artemisia afra / umhlonyane); cedar; lavender; quartz crystal,heavy negative energy; stagnant home vibes; spiritual heaviness; unsettled sleep space; mental fog,home space cleansing ceremony; aura smudging rite; altar consecration; new moon intention setting,"Ethically wildcrafted African wormwood (Umhlonyane) bundled with mountain white sage, sweetgrass, aromatic cedar, a natural raw selenite wand, and an unrefined beeswax candle.","Traditional smoke medicine scientifically shown to clear airborne microbes and stagnant energy; Purifies living spaces before meditation, creative projects, or sleep; Connects the practitioner to ancient ancestral plant blessings and grounded focus","Hand-Tied Herbal Smudge Wand (Sage, Umhlonyane, Cedar, Lavender); Raw Moroccan Selenite Crystal; 100% Pure Rolled Beeswax Candle; Ceremonial Match Striker",Light the tip of the herbal wand until embers glow. Gently wave the fragrant smoke in clockwise motions around room doorways and corners while reciting your blessings.,Yes,assets/images/ritual-ceremony.jpg
solstice-grounding-anointing-oil,Astral Solstice Botanical Anointing Oil,Commiphora myrrha & Boswellia carterii,sacred-rituals,Sacred Rituals & Holistic Kits,2100,4.9,76,Sacred Craft,frankincense; myrrh; sandalwood; black tourmaline infused; golden jojoba,spiritual disconnection; overthinking; lack of grounding; weak aura; creative blocks,third eye anointing; crystal charging ritual; prayer and meditation rite,"Sun-infused during the solar zenith with holy Somalian frankincense tears, bitter red myrrh, and East African sandalwood, charged over raw black tourmaline crystals for deep energetic protection.","Deepens prayer, meditation, and intuitive dream recall; Clears discordant emotional energy and protects the psychic perimeter; Sublime ancient resin fragrance of ancient temples and sacred groves",Organic Golden Jojoba Carrier Oil; Pure Resin-Distilled Frankincense Oil; Red Myrrh Oleoresin; East African Sandalwood Extract; Charged with Black Tourmaline,"Anoint 1 drop on the third eye between brows, palms, and soles of feet before prayer, meditation, or entering crowded environments.",Yes,assets/images/ritual-ceremony.jpg
turmeric-ginger-golden-blend,Sun-Cured Golden Turmeric & Ginger Powder Blend,Curcuma longa & Zingiber officinale,daily-nutrition,Daily Herbal Nutrition,1500,4.9,94,High-Priority Launch,turmeric; ginger; curcumin; black pepper; piperine; ceylon cinnamon,joint stiffness; inflammation; sluggish digestion; sore throat; immune support; cellular aging; muscle aches,golden milk evening ritual; anti-inflammatory elixir; morning warm tonic,"Ethically farmed high-altitude Kenyan turmeric with 5.5% active curcumin, married with spicy dried ginger root and a pinch of black pepper piperine to maximize cellular bioavailability by 2000%.",Potent systemic antioxidant quenching inflammatory pathways in joints and tissues; Stimulates bile flow and gastric vitality for enhanced nutrient assimilation; Promotes golden cellular vitality and supports cardiovascular resilience; Warming Ayurvedic & traditional African wellness ingredient,100% Certified Organic Turmeric Rhizome Powder; Sun-Dried Kenyan Ginger Powder; Organic Ceylon Cinnamon; Tellicherry Black Pepper,Simmer 1 level teaspoon in warm coconut or oat milk with raw acacia honey for 5 minutes. Sip mindfully before bed to soothe aching joints.,Yes,assets/images/moringa-baobab.jpg
sun-dried-ginger-powder,Wild Mountain Sun-Dried Ginger Powder,Zingiber officinale,daily-nutrition,Daily Herbal Nutrition,1200,4.8,62,Apothecary Essential,ginger; zingiber; gingerol; shogaol,nausea; digestive stagnation; motion sickness; cold hands and feet; menstrual discomfort; sluggish metabolism,digestive warm water tonic; culinary grounding; morning circulation activator,"Stone-ground from wild mountain-grown Kenyan ginger rhizomes. Deeply pungent, warming, and packed with active gingerols to ignite systemic circulation and soothe gastric distress.",Rapidly alleviates travel nausea and post-meal stomach heaviness; Warms cold extremities by stimulating peripheral micro-circulation; A versatile medicinal and culinary spice free from additives or sulfur,100% Pure Kenyan Sun-Dried Ginger Rhizome Powder,"Stir 1/2 teaspoon into hot water with fresh lemon juice upon waking, or incorporate into sacred soups and curries.",Yes,assets/images/moringa-baobab.jpg
golden-curcumin-turmeric-powder,Organic Single-Origin Turmeric Rhizome Powder,Curcuma longa,daily-nutrition,Daily Herbal Nutrition,1250,4.8,58,Bestseller,turmeric; curcuma longa; curcuminoids; antioxidants,joint soreness; liver sluggishness; dull skin tone; oxidative stress; gut inflammation,golden latte ceremony; radiance beauty mask; daily vitality sprinkle,Single-origin vibrant golden-orange turmeric grown in nutrient-dense volcanic Kenyan soils. Stone-milled slowly at low temperatures to protect delicate aromatic essential oils.,High natural curcuminoid concentration supporting healthy joint flexibility; Assists natural liver phase-2 enzymatic detox pathways; May be used both as an internal healing tonic and topical brightening facial mask,100% Raw Organic Turmeric Root Powder,"Combine 1 teaspoon with a dash of healthy plant fats (coconut oil or ghee) in warm milk, or mix with raw yogurt for a weekly glowing face mask.",Yes,assets/images/moringa-baobab.jpg
pure-kenyan-lemongrass-tea,Pure Highland Lemongrass Refreshment Tea,Cymbopogon citratus,daily-nutrition,Daily Herbal Nutrition,1100,4.9,83,Caffeine-Free,lemongrass; cymbopogon; citral; limonene,bloating; mental fatigue; feverish heat; mild anxiety; fluid retention; head tension,afternoon cooling sip; meditation tea ceremony; digestive cleanse,"Crisp, aromatic cut lemongrass stalks sustainably harvested from highland regenerative family farms in Rift Valley. Naturally sweet with vibrant citrus notes and zero caffeine.","Gentle diuretic action flushes excess fluid and reduces puffiness; Rich in citral, a terpene that uplifts the spirits and eases nervous tension; Soothes irritable stomach sensations after meals without overstimulating",100% Hand-Selected Kenyan Dried Lemongrass Stalks,Steep 1 tablespoon in freshly boiled water for 6-8 minutes covered. Enjoy hot or iced with a crushed sprig of garden mint.,Yes,assets/images/hibiscus-tea.jpg
calming-herbal-relaxation-tea,Tranquil Mind Chamomile & Passionflower Calming Tea,Matricaria chamomilla & Passiflora incarnata,mind-sleep,"Mind, Stress & Sleep Wellness",1450,4.9,128,High-Priority Launch,chamomile; passionflower; lemon balm; spearmint; linden flower,acute stress; irritability; nervous tension; exam/work anxiety; restlessness; stomach knots,midday calm ritual; twilight pause ceremony; breathwork companion,"A calming daytime and twilight herbal infusion designed to melt away mental overwhelm, quiet an overactive sympathetic nervous system, and restore inner equilibrium without inducing heavy drowsiness.",Natural apigenin and flavonoids gently bind GABA neuroreceptors to ease panic; Dissolves stress-related physical tightness in the solar plexus and diaphragm; Safe and non-sedating for daytime use during demanding work hours,Whole Egyptian Chamomile Flowers; Wild Passionflower Vine; Organic Lemon Balm Leaves; Sweet Moroccan Mint; Linden Blossom,Steep 1 tablespoon in 90°C water for 7-10 minutes covered. Sip slowly while practicing gentle diaphragmatic breathing.,Yes,assets/images/calming-bedtime.jpg
